Album,Song,Year,Total_Streams,Daily,Lyrics
SpeakNow,BacktoDecember,2010,301954570,467810,im glad made time see hows life tell hows family havent seen youve good busier ever small talk work weather guard know precious last time saw still burned back mind gave roses left die chorus swallowing pride standing front saying im sorry night go back december time turns freedom aint nothing missing wishing id realized mine go back december turn around make alright go back december time verse 2 days havent sleeping staying playing back leaving birthday passed didn't call think summer beautiful times watched laughing passenger side realized loved fall might also cold came dark days fear crept mind gave love gave goodbye chorus swallowing pride standing front saying im sorry night go back december time turns freedom aint nothing missing wishing id realized mine go back december turn around change mind go back december time bridge miss tan skin sweet smile good right held arms september night first time ever saw cry maybe wishful thinking probably mindless dreaming loved swear id love right id go back time change cant chain door understand chorus swallowing pride standing front saying im sorry night go back december turns freedom aint nothing missing wishing id realized mine go back december turn around make alright go back december turn around change mind go back december time outdo
1989,BadBlood,2014,423517516,593247,cause baby weve got bad blood know used mad love take look youve done cause baby weve got bad blood hey weve got problems dont think solve em made really deep cut baby weve got bad blood hey verse 1 thinking could trusted ruin shiny rusted hit im weak baby couldnt breathe rub deep salt wound like your laughing right precious oh sad think good times chorus cause baby weve got bad blood know used mad love take look youve done cause baby weve got bad blood hey weve got problems dont think solve em made really deep cut baby weve got bad blood hey verse 2 think wed fine still got scars back knives dont think past kinds wounds last last think things catch time heal wont your coming way dont might also oh sad think good times chorus cause baby weve got bad blood know used mad love take look youve done cause baby weve got bad blood hey weve got problems dont think solve em made really deep cut baby weve got bad blood hey bridge bandaid dont fix bullet holes say sorry show live like live ghosts bandaid dont fix bullet holes say sorry show live like live ghosts love like blood runs cold chorus cause baby weve got bad blood know used mad love take look youve done cause baby weve got bad blood hey weve got problems dont think solve em think solve em made really deep cut baby weve got bad blood hey cause baby weve got bad blood know used mad love take look youve done look youve done cause baby weve got bad blood hey weve got problems dont think solve em made really deep cut baby weve got bad blood
Red,BeginAgain,2012,113240855,43423,took deep breath mirror didn't like wore high heels turn lock put headphones always said didn't get song verse 2 walked expecting youd late got early stand wave walk pull chair help dont know nice chorus throw head back laughing like little kid think strange think im funny cause never ive spending last eight months thinkin love ever break burn end wednesday cafe watched begin verse 3 said never met one girl many james taylor records tell stories dont know im comin little shy chorus throw head back laughing like little kid think strange think im funny cause never ive spending last eight months thinkin love ever break burn end wednesday cafe watched begin bridge walked block car almost brought start talk movies family watches every single christmas wan na talk first time whats past past might also cause throw head back laughing like little kid think strange think im funny cause never ive spending last eight months thinkin love ever break burn end wednesday cafe watched begin outdo him him wednesday cafe watched begin
Midnights,Bejeweled,2022,284042733,926232,baby love think ive little kind didn't notice walkin peace mind shoes gave present putting someone first works your top five way im goin tonight chorus best believe im still bejeweled walk room still make whole place shimmer meet band ask man could still say dont remember familiarity breeds contempt dont put my basement when want penthouse heart diamonds eyes polish real polish real nice nice verse 2 baby boy think ive good girl good girl extra credit got graded curve think time teach lessons made world huh heard huh reclaim land miss miss miss sparkling nice chorus best believe im still bejeweled walk room still make whole place shimmer meet band ask man could still say dont remember familiarity breeds contempt dont put basement want penthouse heart diamonds eyes polish real polish real nice nice might also sapphire tears face sadness became whole sky guy said auras moonstone cause high dancin night try change mind might wait line whats girl gon na diamonds got ta shine chorus best believe im still bejeweled walk room still make whole place shimmer shimmer meet band ask man could still say dont remember familiarity breeds contempt dont put basement want penthouse heart diamonds eyes polish real nice polish real nice outdo dancin night try change mind might wait line whats girl gon na whats girl gon na polish nice best believe im still bejeweled walk room still make whole place
SpeakNow,BetterThanRevenge,2010,146903835,274237,go stand corner think ha time little revenge verse 1 story starts hot summer right wanted came along got alone lets hear applause took faster say sabotage never saw coming wouldnt suspected underestimated dealing know pain beating like drum underestimated stealing chorus shes saint shes think shes actress woah shes better known things mattress woah soon shes gon na find stealing peoples toys playground wont make many friends keep mind keep mind nothing better revenge ha verse 2 looks life like party shes list looks like im trend shes think frown little troubling thinks im psycho cause like rhyme name things sophistication isn't wear know pushing people get wan na go oh didn't teach prep school amount vintage dresses gives dignity think might also shes saint shes think shes actress woah shes better known things mattress woah soon shes gon na find stealing peoples toys playground wont make many friends keep mind keep mind nothing better revenge ha bridge im another thing roll eyes honey might havent heard im another thing roll eyes honey might always get last word woah chorus shes saint shes think shes actress woah deserved shes better known things mattress woah soon shes gon na find stealing peoples toys playground wont make many friends keep mind keep mind nothing better revenge outdo still feel like know your cause dont think oh still feel like know your dont think dont think lets hear applause come come come show much better much better yeah see deserve applause cause your much better took faster could say
Folklore,betty,2020,228639083,263177,betty wont make assumptions switched homeroom think cause betty one time riding skateboard passed house like couldnt breathe precious heard rumors inez cant believe word says times time true worst thing ever chorus showed party would would want would tell go fuck lead garden garden would trust told summer thing im seventeen dont know anything know miss verse 2 betty know went wrong favorite song playing far side gym nowhere found hate crowds know plus saw dance might also heard rumors inez cant believe word says times time true worst thing ever chorus showed party would would want would tell go fuck lead garden garden would trust told summer thing im seventeen dont know anything know miss bridge walking home broken cobblestones thinking pulled like figment worst intentions said james get lets drive days turned nights slept next dreamt summer long verse 3 betty im doorstep planned weeks finally sinking betty right last time dream happens see face precious thing wan na make showed party yeah showed party chorus yeah showed party love kiss porch front stupid friends kiss like dreamed patch broken wings im seventeen dont know anything know miss outdo standing cardigan kissing car stopped streetlight know miss
1989,BlankSpace,2014,1241540274,1718554,nice meet could show incredible things magic madness heaven sin saw thought oh god look face look like next mistake loves game wan na play any new money suit tie read like magazine aint funny rumors fly know heard hey lets friends im dying see one ends grab passport hand make bad guys good weekend chorus gon na forever gon na go flames tell my high worth pain got long list lovers theyll tell im insane cause know love players love game cause young reckless well take way far itll leave breathless my nasty scar got long list lovers theyll tell im insane ive got blank space baby ill write name verse 2 cherry lips crystal skies could show incredible things stolen kisses pretty lies your king baby im queen find want girl month wait worst yet come oh screaming crying perfect storms make tables turn rose garden filled thorns keep second guessing like oh god get drunk jealousy youll come back time leave cause darling im nightmare dressed like daydream might also gon na forever gon na go flames tell my high worth pain got long list lovers theyll tell im insane cause know love players love game cause young reckless oh well take way far itll leave breathless ooh my nasty scar got long list lovers theyll tell im insane insane ive got blank space baby ill write name bridge boys want love torture dont say didn't say didn't warn ya boys want love torture dont say didn't say didn't warn ya chorus gon na forever gon na go flames tell my high worth pain got long list lovers theyll tell im insane im insane cause know love players love game love game cause young reckless yeah well take way far ooh itll leave breathless my nasty scar nasty scar got long list lovers theyll tell im insane ive got blank space baby ill write
Fearless,Breathe,2008,63171548,16971,see face mind drive away cause none us thought gon na end way people people sometimes change minds killing see go time verse 2 taylor swift collie cadillac music starts playing like end sad movie kind ending dont really wan na see cause tragedy itll bring dont know without around precious taylor swift collie cadillac know never simple never easy never clean break one save your thing know like back hand chorus taylor swift collie cadillac cant breathe without breathe without verse 3 taylor swift collie cadillac never wanted never wan na see hurt every little bump road tried swerve people people sometimes doesn't work nothing say gon na save us fall might also taylor swift collie cadillac know never simple never easy never clean break one save your thing know like back hand chorus taylor swift collie cadillac cant breathe without breathe without bridge taylor swift collie cadillac 2 feeling like lost friend hope know easy easy 2 feeling like lost friend hope know aint easy easy precious taylor swift collie cadillac know never simple never easy never clean break one save ooh chorus taylor swift collie cadillac cant breathe without breathe without breathe without outdo taylor swift collie cadillac im sorry im sorry mom im sorry yeah yeah im sorry im sorry im sorry im
Reputation,CallItWhatYouWant,2017,268193674,281408,castle crumbled overnight brought knife gunfight took crown alright liars calling one nobodys heard months im doin better ever cause chorus babys fit like daydream walkin head im one hes walking call want yeah call want babys fly like jet stream high whole scene loves like im brand new call want yeah call want verse 2 flowers grew back thorns windows boarded storm built fire keep warm drama queens taking swings jokers dressing kings fade nothing look know make mistakes every time bridges burn never learn least one thing right one thing right im laughing lover makin forts covers trust like brother yeah know one thing right starry eyes sparking darkest night chorus babys fit like daydream walkin head im one hes walking call want yeah call want babys fly like jet stream high whole scene loves like im brand new call want call want call call want yeah call want might also want wear initial chain round neck chain round neck owns cause really knows say recall late november holding breath slowly said dont need save would run away yes would run away chorus babys fit like daydream walkin head im one hes walking call want call want call call want yeah call want call want babys fly like jet stream oh high whole scene loves like im brand new call want call want call call want yeah call want outdo call want call call want call want call call want call want call call want call want call call want call want call call want call want call call want call want call call want yeah call want
Folklore,cardigan,2020,716111142,1630815,vintage tee brand new phone high heels cobblestones young assume know nothing sequin smile black lipstick sensual politics young assume know nothing chorus knew dancin elvis drunk streetlight knew hand sweatshirt baby kiss better refrain felt like old cardigan someones bed put said favorite verse 2 friend friend none chase two girls lose one young assume know nothing might also knew playing giving weekends knew heartbeat high line twenty lifetimes refrain felt like old cardigan someones bed put said favorite bridge kiss cars downtown bars needed drew stars around scars im bleeding chorus cause knew stepping last train marked like bloodstain knew tried change ending peter losing wendy knew leavin like father running like water young assume know nothing verse 3 knew youd linger like tattoo kiss knew youd haunt whatis smell smoke would hang around long cause knew everything young knew id curse longest time chasing shadows grocery line knew youd miss thrill expired youd standin front porch light knew youd come back youd come back youd come back youd come back refrain felt like old cardigan someones bed put said
Evermore,champagneproblems,2020,391042252,546040,booked night train reason could sit hurt bustling crowds silent sleepers your sure worse chorus dropped hand dancing left standing crestfallen landing champagne problems moms ring pocket picture wallet heart glass dropped champagne problems verse 2 told family reason couldnt keep sister splashed bottle ones celebrating chorus dom brought crowd friends applauded hometown skeptics called champagne problems speech your speechless love slipped beyond reaches couldnt give reason champagne problems might also midas touch chevy door november flush flannel cure dorm madhouse made joke well made evergreen group friends dont think well say word soon theyll nerve deck halls walked one money two show never ready watch go sometimes dont know answer til someones knees asks wouldve made lovely bride shame shes fucked head said youll find real thing instead shell patch tapestry shred chorus hold hand dancing never leave standing crestfallen landing champagne problems moms ring pocket picture wallet wont remember champagne problems outdo wont remember champagne
Fearless,Change,2008,24292564,9764,sad picture final blow hits somebody else gets wanted know another time place repeating history your getting sick believe whatever ill anything see chorus things change feel walls put hold us back fall revolution time come us finally win well sing hallelujah well sing hallelujah oh oh verse 2 weve outnumbered raided cornered hard fight fight i fair getting stronger find things never found might bigger faster never scared walk away say dont need theres something eyes says beat chorus cause things change feel walls put hold us back fall revolution time come us finally win well sing hallelujah well sing hallelujah oh oh might also tonight stand get knees fight weve worked years battle long fight lives well stand champions tonight chorus night things changed see walls put hold us back fell revolution throw hands cause never gave well sing hallelujah sang hallelujah
1989,Clean,2014,144362800,188813,drought worst ooh ooh flowers wed grown together died thirst months months back forth ooh ooh your still like dress cant wear anymore precious hung head lost war sky turned black like perfect storm chorus rain came pouring drowning thats could finally breathe morning gone trace think finally clean oh oh oh oh verse 2 nothing left ooh ooh butterflies turned dust covered whole room punched hole roof ooh ooh let flood carry away pictures precious water filled lungs screamed loud one heard thing chorus rain came pouring drowning thats could finally breathe morning gone trace think finally clean oh oh oh oh think finally clean oh oh oh oh oh oh ooh said think finally clean oh oh oh oh oh oh ooh might also ten months sober must admit your clean dont mean dont miss ten months older wont give im clean im never gon na risk breakdown drought worst ooh ooh flowers wed grown together died thirst oh chorus rain came pouring drowning thats could finally breathe morning gone trace think finally clean rain came pouring drowning thats could finally breathe morning gone trace think finally clean outdo oh oh finally clean think im finally clean oh oh ooh ooh oh oh oh think im finally
Evermore,closure,2020,83943105,73968,long time seeing shape name still spells pain want right way went looks like know chorus yes got letter yes im better cut deep know ya right bone yes got letter yes im better know dont need closure closure verse 2 dont treat like situation needs handled im fine spite tears beers candles feel smoothing chorus yes got letter yes im better cut deep know ya right bone yes got letter yes im better know dont need closure closure closure closure might also know im wrinkle new life staying friends would iron nice guilty guilty reaching across sea put fake oh unnecessary chorus yes got letter yes im better cut deep know ya right bone yes got letter yes im better know dont need closure closure closure
TaylorSwift,ColdasYou,2006,28751181,40213,way coming easily take take best start fight cause need feel something want cause im wanted chorus oh shame rainy ending given perfect day walk away aint use defending words never say im sitting thinking ive never anywhere cold verse 2 put walls paint shade gray stood loving wished away come away great little story mess dreamer nerve adore chorus oh shame rainy ending given perfect day walk away aint use defending words never say im sitting thinking ive never anywhere cold bridge never give damn thing honey cried cried know wouldnt told nobody died died died chorus oh shame rainy ending given perfect day every smile fake condescending counting scars made im sitting thinking ive never anywhere cold doyou might also
Red,ComeBackBeHere,2012,39557167,10773,said simple way 4 second day strange dont know stumbled long goodbye one last kiss catch flight right fall precious told dont get attached mind play back spinning faster plane took chorus feeling sinks dont wan na miss like come back come back guess your new york today dont wan na need way come back come back verse 2 delicate beginning rush feeling know much without knowing anything put known know never wouldve played nonchalant precious taxi cabs busy streets never bring back cant help wish took chorus feeling sinks dont wan na miss like come back come back guess your london today dont wan na need way come back come back might also falling love cruelest way falling worlds away new york your london break cause fair your around chorus feeling sinks dont wan na miss like come back come back guess your new york today dont wan na need way come back come back outdo ooh ooh dont wan na miss like ooh ooh come back come back
Evermore,coneyisland,2020,123721042,119154,break soul two looking your right cant relate anymore related long haul how get soon close fist around something delicate shatter precious taylor swift im sitting bench coney island wondering baby go fast times bright lights merry go sorry making centerfold chorus taylor swift lost surprises disappointments close eyes gets colder colder sun goes verse 2 matt bringer taylor swift question pounds head whats lifetime achievement pushed edge polite leave miss rogue coaxed paradise left forgive soul your wise trust old care might also taylor swift matt bringer cause like mall internet one place mischief suburban dreams sorry winning arcade ring chorus taylor swift matt bringer lost surprises disappointments close eyes gets colder colder sun goes bridge taylor swift matt bringer waiting old spot tree line gold clock leave hanging every single day standing hallway big cake happy birthday paint bluest skies darkest grey universe away got accident sight flashed face walked podium think forgot say name precious taylor swift matt bringer im bench coney island wondering baby go fast times bright lights merry go sorry making centerfold chorus taylor swift matt bringer lost surprises disappointments close eyes gets colder colder sun goes outdo taylor swift matt bringer sun goes sight flashed face sun goes think forgot say name sorry making making making
Lover,CorneliaStreet,2019,203763706,412542,backseat drunk something stronger drinks bar rent place cornelia street say casually car fresh page desk filling blanks go street lights pointed arrow head leading us home chorus hope never lose hope never ends id never walk cornelia street thats kinda heartbreak time could never mend id never walk cornelia street baby get mystified city screams name baby im terrified ever walk away id never walk cornelia street id never walk cornelia street verse 2 windows flung right open autumn air jacket round shoulders bless rains cornelia street memorize creaks floor back card sharks playing games thought leading packed bags left cornelia street even knew gone precious called showed hand turned around hit tunnel sat roof chorus hope never lose hope never ends id never walk cornelia street thats kinda heartbreak time could never mend id never walk cornelia street baby get mystified city screams name city screams name baby im terrified ever walk away id never walk cornelia street id never walk cornelia street bridge hold hand street walk back apartment years ago inside barefoot kitchen sacred new beginnings became religion listen might also hope never lose id never walk cornelia street oh never baby get mystified city screams name city screams name baby im terrified ever walk away id never walk cornelia street id never walk cornelia street dont wan na lose hope never ends id never walk cornelia street dont wan na lose yeah outdo rent place cornelia street say casually
Evermore,cowboylikeme,2020,119229240,129932,tennis court covered thing asked dance said dancin dangerous game oh thought gon na one things know im never gon na love refrain ive got tricks sleeve takes one know one your cowboy like verse 2 never wanted love fancy car im waiting phone like im sitting airport bar refrain tricks sleeve takes one know one your cowboy like might also perched dark tellin rich folks anything wan na hear like could love could way forward pay your bandit like eyes full stars hustling good life never thought id meet could love could way forward know ill pay chorus your cowboy like perched dark tellin rich folks anything wan na hear like could love could way forward pay your bandit like eyes full stars hustling good life never thought id meet could love could way forward know ill pay bridge skeletons closets plotted hard fuck old men ive swindled really believe one ladies lunching stories passed town oh locked verse 3 hang lips like gardens babylon boots beneath bed forever sweetest con refrain ive tricks sleeve takes one know one your cowboy like outdo im never gon na love im never gon na love im never gon na love
Lover,CruelSummer,2019,599197028,2214267,yeah yeah yeah yeah verse 1 fever dream high quiet night know caught oh yeah your right want bad bad boy shiny toy price know bought oh yeah your right want precious killing slow window im always waiting waiting devils roll dice angels roll eyes doesn't kill makes want chorus new shape body blue feeling ive got ooh whoa cruel summer cool thats tell em rules breakable heaven ooh whoa cruel summer verse 2 hang head low glow vending machine im dying oh yeah your right want say well screw trying times trying oh yeah your right want precious cut headlights summers knife im always waiting cut bone devils roll dice angels roll eyes bleed youll last know oh chorus new shape body blue feeling ive got ooh whoa cruel summer cool thats tell em rules breakable heaven ooh whoa cruel summer might also im drunk back car cried like baby comin home bar oh said im fine want true dont wan na keep secrets keep snuck garden gate every night summer seal fate oh scream whatever worth love aint worst thing ever heard looks grinning like devil chorus new shape body blue feeling ive got ooh whoa cruel summer cool thats tell em rules breakable heaven ooh whoa cruel summer outdo im drunk back car cried like baby comin home bar oh said im fine want true dont wan na keep secrets keep snuck garden gate every night summer seal fate oh scream whatever worth love aint worst thing ever heard yeah yeah yeah
Reputation,DancingWithOurHandsTied,2017,164653189,191491,loved secret first sight yeah love without reason oh years old oh know love frozen deep blue painted golden oh held close oh know i precious couldve spent forever hands pockets picture face invisible locket said nothing world could stop bad feeling darling turned bed sacred oasis people started talking putting us paces knew one world could take bad feeling chorus dancing dancing hands tied hands tied yeah dancing like first time first time yeah dancing dancing hands tied hands tied yeah dancing bad feeling dancing verse 2 loved spite deep fears world would divide us baby dance oh avalanche say say got im mess im mess wanted oh cause gravity oh keeping i precious couldve spent forever hands pockets picture face invisible locket said nothing world could stop bad feeling might also dancing dancing hands tied hands tied yeah dancing like first time first time yeah dancing dancing hands tied hands tied yeah dancing knew hands tied bad feeling dancing bridge id kiss lights went swaying room burned id hold water rushes could dance id kiss lights went swaying room burned id hold water rushes could dance chorus dancing hands tied hands tied oh yeah dancing like first time first time first time first time yeah dancing oh dancing hands tied hands tied dancing hands tied yeah dancing ooh bad feeling bad feeling dancing outdo ooooh ooooh hands tied hands tied
Lover,Daylight,2019,168416443,625777,love cruel cities lived everyone looked worse light many lines ive crossed forgiven ill tell truth never goodbye chorus dont wan na look anything else saw dont wan na think anything else thought ive sleeping long year dark night see daylight see daylight verse 2 luck draw draws unlucky became butt joke wounded good trusted wicked clearing air breathed smoke maybe ran wolves refused settle maybe ive stormed every single room town threw cloaks daggers morning brighter chorus dont wan na look anything else saw never look away dont wan na think anything else thought things never ive sleeping long year dark night im wide awake see daylight daylight see daylight daylight see daylight daylight daylight daylight see daylight daylight daylight daylight bridge still see mind intertwined believed love would black white golden golden still see head back forth new york sneaking bed believed love would burning red golden like daylight like daylight like daylight daylight might also dont wan na look anything else saw never look away dont wan na think anything else thought things never ive sleeping long year dark night im wide awake see daylight see daylight see daylight ah see daylight daylight daylight daylight see daylight daylight daylight daylight ah still see see daylight daylight daylight daylight still see back forth new york see daylight daylight daylight daylight believed love would burning red outdo like daylight golden like daylight got ta step daylight let go let go let go spoken outdo wan na defined things love things hate things im afraid im afraid things haunt middle night think
SpeakNow,DearJohn,2010,118024714,205950,long nights days revolved around counting footsteps praying floor wont fall mother accused losing mind swore fine paint blue sky go back turn rain lived chess game changed rules everyday wondering version might get phone tonight well stopped picking song let know chorus dear john see your gone dont think young messed girl dress cried whole way home shouldve known verse 2 well maybe blind optimism blame maybe sick need give love take away youll add name long list traitors dont understand look back regret ignored said run fast might also dear john see your gone dont think young messed girl dress cried whole way home dear john see wrong dont think nineteen young played dark twisted games loved shouldve known bridge expert sorry keeping lines blurry never impressed acing tests girls youve run dry tired lifeless eyes cause burned took matches fire could catch dont look im shining like fireworks sad empty town oh oh chorus dear john see your gone dont think young messed girl dress cried whole way home see your gone dont think young messed girl dress wrote song shouldve known outdo shouldve known dont think young shouldve
